MakeAndModelOriginal,MakeAndModelClean
ACURA INTGR,ACURA INTEGRA
ACURA MDX  ,ACURA MDX
ACURA TL   ,ACURA TL
AUDI A4 QU,AUDI A4
BMW 325I ,BMW 325I
BMW X3   ,BMW X3
BMW X5   ,BMW X5
BUICK CENTY,BUICK CENTURY
CHEVROLET ASTRO,CHEVROLET ASTRO
CHEVROLET AVEO ,CHEVROLET AVEO
CHEVROLET BLAZR,CHEVROLET BLAZER
CHEVROLET CAVAL,CHEVROLET CAVALIER
CHEVROLET COBLT,CHEVROLET COBALT
CHEVROLET EQUNX,CHEVROLET EQUINOX
CHEVROLET EXPRS,CHEVROLET EXPRESS
CHEVROLET IMPAL,CHEVROLET IMPALA
CHEVROLET MALIB,CHEVROLET MALIBU
CHEVROLET S10  ,CHEVROLET S10
CHEVROLET SILVR,CHEVROLET SILVERADO
CHEVROLET TAHOE,CHEVROLET TAHOE
CHEVROLET UPLDR,CHEVROLET UPLANDER
CHEVROLET VENTR,CHEVROLET VENTURE
CHRYSLER INTRP,CHRYSLER INTREPID
CHRYSLER PTCRU,CHRYSLER PT CRUISER
CHRYSLER SEBRG,CHRYSLER SEBRING
DODGE CALBR,DODGE CALIBER
DODGE CRVAN,DODGE CARAVAN
DODGE DKOTA,DODGE DAKOTA
DODGE DURAN,DODGE DURANGO
DODGE GCRVN,DODGE GRAND CARAVAN
DODGE JURNY,DODGE JOURNEY
DODGE RAM  ,DODGE RAM
FORD ECONO,FORD ECONOLINE
FORD EDGE ,FORD EDGE
FORD ESCAP,FORD ESCAPE
FORD ESCRT,FORD ESCORT
FORD EXPLR,FORD EXPLORER
FORD F150 ,FORD F150
FORD F250 ,FORD F250
FORD F350 ,FORD F350
FORD FOCUS,FORD FOCUS
FORD FUSON,FORD FUSION
FORD MUSTG,FORD MUSTANG
FORD RANGR,FORD RANGER
FORD TAURS,FORD TAURUS
FORD WDSTR,FORD WINDSTAR
GMC JIMMY,GMC JIMMY
GMC SAVNA,GMC SAVANA
GMC SFARI,GMC SAFARI
GMC SIERA,GMC SIERRA
GMC YUKON,GMC YUKON
HONDA ACCRD,HONDA ACCORD
HONDA CIVIC,HONDA CIVIC
HONDA CR-V ,HONDA CR-V
HONDA FIT  ,HONDA FIT
HONDA ODYSY,HONDA ODYSSEY
HONDA PILOT,HONDA PILOT
HYUNDAI ACCNT,HYUNDAI ACCENT
HYUNDAI ELNTR,HYUNDAI ELANTRA
HYUNDAI SANTA,HYUNDAI SANTA FE
HYUNDAI SONAT,HYUNDAI SONATA
HYUNDAI TUSON,HYUNDAI TUCSON
JEEP CHERO,JEEP CHEROKEE
JEEP GRCHE,JEEP GRAND CHEROKEE
JEEP LBRTY,JEEP LIBERTY
JEEP PATRT,JEEP PATRIOT
JEEP WRANG,JEEP WRANGLER
KIA RIO  ,KIA RIO5
KIA SPORT,KIA SPORTAGE
LEXUS RX350,LEXUS RX350
MAZDA MPV  ,MAZDA MPV
MAZDA MZDA3,MAZDA MAZDA3
MAZDA MZDA5,MAZDA MAZDA5
MAZDA MZDA6,MAZDA MAZDA6
MAZDA PRTGE,MAZDA PROTEGE
MAZDA TRBUT,MAZDA TRIBUTE
MINI COOPR,MINI COOPER
MITSUBISHI LANCR,MITSUBISHI LANCER
MITSUBISHI OLNDR,MITSUBISHI OUTLANDER
NISSAN ALTMA,NISSAN ALTIMA
NISSAN FRONT,NISSAN FRONTIER
NISSAN MAXMA,NISSAN MAXIMA
NISSAN MRANO,NISSAN MURANO
NISSAN PFNDR,NISSAN PATHFINDER
NISSAN ROGUE,NISSAN ROGUE
NISSAN SENTR,NISSAN SENTRA
NISSAN VERSA,NISSAN VERSA
NISSAN XTERA,NISSAN XTERRA
NISSAN XTRAL,NISSAN X-TRAIL
PONTIAC GRNAM,PONTIAC GRAND AM
PONTIAC GRPRX,PONTIAC GRAND PRIX
PONTIAC MTANA,PONTIAC MONTANA
PONTIAC SUNFR,PONTIAC SUNFIRE
PONTIAC VIBE ,PONTIAC VIBE
SMART FRTWO,SMART FORTWO
SUBARU FRSTR,SUBARU FORESTER
SUBARU IMPRZ,SUBARU IMPREZA
SUBARU LEGCY,SUBARU LEGACY
SUBARU OUTBK,SUBARU OUTBACK
TOYOTA 4RUNR,TOYOTA 4RUNNER
TOYOTA CAMRY,TOYOTA CAMRY
TOYOTA CROLA,TOYOTA COROLLA
TOYOTA ECHO ,TOYOTA ECHO
TOYOTA HLNDR,TOYOTA HIGHLANDER
TOYOTA MATRX,TOYOTA MATRIX
TOYOTA PRIUS,TOYOTA PRIUS
TOYOTA RAV4 ,TOYOTA RAV4
TOYOTA SIENA,TOYOTA SIENNA
TOYOTA TACOM,TOYOTA TACOMA
TOYOTA TERCL,TOYOTA TERCEL
TOYOTA TNDRA,TOYOTA TUNDRA
TOYOTA YARIS,TOYOTA YARIS
VOLKSWAGEN BEETL,VOLKSWAGEN BEETLE
VOLKSWAGEN GOLF ,VOLKSWAGEN GOLF
VOLKSWAGEN JETTA,VOLKSWAGEN JETTA
VOLKSWAGEN PASAT,VOLKSWAGEN PASSAT
